"icao24","firstseen_datetime","origin","lastseen_datetime","destination","callsign","duration_hours","departure_distance_km","arrival_distance_km","flight_date"
"89602b","2026-01-15 08:42:55.000 Asia/Muscat","","2026-01-15 09:58:48.000 Asia/Muscat","OMAA","YASAT12 ","1.3","","15.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"89610f","2026-01-15 08:43:09.000 Asia/Muscat","OMDB","2026-01-15 22:48:42.000 Asia/Muscat","","UAE247  ","14.1","2.300000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896719","2026-01-15 08:43:38.000 Asia/Muscat","OMSJ","2026-01-15 12:22:27.000 Asia/Muscat","","ABY732  ","3.6","1.600000","","2026-01-15 04:00:00.000 Asia/Muscat"
"70aa71","2026-01-15 08:44:18.000 Asia/Muscat","OMDB","2026-01-15 12:03:13.000 Asia/Muscat","VNKT","RNA230  ","3.3","1.900000","21.300000","2026-01-15 04:00:00.000 Asia/Muscat"
"896532","2026-01-15 08:44:21.000 Asia/Muscat","","2026-01-15 11:30:17.000 Asia/Muscat","OMDB","FDB1690 ","2.8","","4.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"896608","2026-01-15 08:45:00.000 Asia/Muscat","UGTB","2026-01-15 11:44:43.000 Asia/Muscat","OMDB","FDB5PS  ","3.0","1.400000","5.000000","2026-01-15 04:00:00.000 Asia/Muscat"
"495cd0","2026-01-15 08:45:30.000 Asia/Muscat","","2026-01-15 15:41:39.000 Asia/Muscat","OMDW","WFL8622 ","6.9","","6.000000","2026-01-15 04:00:00.000 Asia/Muscat"
"8960dc","2026-01-15 08:45:39.000 Asia/Muscat","OMDB","2026-01-15 15:52:59.000 Asia/Muscat","ESSA","UAE4T   ","7.1","2.500000","2.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"896411","2026-01-15 08:46:11.000 Asia/Muscat","OMSJ","2026-01-15 09:10:58.000 Asia/Muscat","","ABY112  ","0.4","1.700000","","2026-01-15 04:00:00.000 Asia/Muscat"
"89667a","2026-01-15 08:46:23.000 Asia/Muscat","OMDB","2026-01-15 09:07:59.000 Asia/Muscat","","UAE30V  ","0.4","0.700000","","2026-01-15 04:00:00.000 Asia/Muscat"
